"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"9805","Kötzschau, Bahnhof (Bus)",12.125432,51.306095,""
"9808","Kötzschau, Mühle",12.125001,51.310185,""
"9810","Kötzschau, Schule",12.124812,51.311308,""
"9685","Feldschlösschen (Tollwitz)",12.123428,51.28719,""
"9989","Rampitz (Kötzschau), Abzweig",12.122924,51.287559,""
"9780","Kauern (Tollwitz)",12.113225,51.280062,""
"9987","Ragwitz",12.110313,51.274965,""
"9660","Schladebach, Domäne",12.10767,51.315848,""
"9779","Kauern (Tollwitz), Am Johannisanger",12.10473,51.280377,""
"9608","Balditz (Bad Dürrenberg)",12.081736,51.290328,""
"9599","Bad Dürrenberg, Engelsschule",12.070616,51.293204,""
"9725","Goddula (Bad Dürrenberg)",12.066895,51.274336,""
"9972","Ostrau (Bad Dürrenberg), Abzweig",12.066409,51.310086,""
"9851","Lennewitz (Bad Dürrenberg)",12.065897,51.307182,""
"9697","Friedensdorf",12.06382,51.350483,""
"9698","Friedensdorf, Abzweig",12.060306,51.359365,""
"9816","Kreypau, Wüsteneutzscher Str.",12.045977,51.32944,""
"9818","Kreypau, Merseburger Str.",12.045734,51.328712,""
"9788","Kleinkorbetha",12.045455,51.255396,""
"9817","Kreypau, Abzweig",12.033383,51.357468,""
"9877","Lösau, Ort (Dehlitz)",12.027909,51.223843,""
"9859","Leuna, Rathaus",12.024088,51.323597,""
"9852","Leuna, Einsteinstr.",12.023809,51.326707,""
"9854","Leuna, Lindenplatz",12.00406,51.332442,""
"9900","Merseburg, Rischmühleninsel",12.002586,51.353827,""
"9899","Merseburg, Herdergymnasium",11.998073,51.351319,""
"9902","Merseburg, Lessingstr. bzw. Schwimmhalle",11.997561,51.342762,""
"9898","Merseburg, Hälterstr.",11.996932,51.358673,""
"9949","Merseburg, Nulandplatz",11.993884,51.351131,""
"9791","Merseburg, Gotthardstr.",11.993381,51.353971,""
"9722","Merseburg, Süd, Glückaufstr.",11.989596,51.332415,""
"9861","Leuna, Leuna 2000",11.985363,51.280565,""
"9897","Merseburg, Fliederweg",11.983753,51.349,""
"9896","Merseburg, Albrecht-Dürer-Str.",11.983061,51.354771,""
"9699","Merseburg, West, Kleeblatt",11.978854,51.35843,""
"9700","Merseburg, West, Gustav-Adolf-Str.",11.978432,51.351508,""
"9770","Merseburg, West, Ikarusstr.",11.977164,51.357171,""
"9977","Merseburg, West, Quantzstr.",11.974926,51.354627,""
"9812","Kötzschen, Kirche",11.971978,51.326419,""
"9615","Beuna (Geiseltal), Bahnhof (Bus)",11.961793,51.323543,""
"9907","Merseburg, Zentralfriedhof",11.960229,51.34224,""
"9596","Atzendorf (Geusa), Abzweig",11.956642,51.341314,""
"9616","Beuna (Geiseltal), Kindergarten",11.954988,51.322347,""
"9617","Beuna (Geiseltal), Volkshaus",11.949163,51.320819,""
"9716","Geusa",11.947158,51.339678,""
"9714","Geusa, Schule",11.940992,51.335795,""
"9713","Geusa, Dorfplatz",11.939482,51.337737,""
"9688","Frankleben, Kastanienstr.",11.936974,51.314257,""
"9736","Großkayna",11.934699,51.290894,""
"9622","Blösien, Bergmannsring",11.924613,51.33193,""
"9621","Blösien, Dorfplatz",11.919993,51.333053,""
"9629","Braunsbedra, Friedhof",11.899318,51.287145,""
"9935","Neumark Nord",11.888567,51.33406,""
"9633","Braunsbedra, Zentrum",11.887857,51.284889,""
"9630","Braunsbedra, Grundschule",11.884297,51.286085,""
"9632","Braunsbedra, Parksiedlung",11.881519,51.283667,""
"9627","Braunsbedra, Atlantis",11.87564,51.28568,""
"9523","Sautzschen (Haynsburg)",12.055272,51.022674,""
"9602","Bad Lauchstädt, Bahnhof (Bus)",11.871209,51.389191,""
"9618","Bad Lauchstädt, Hallesche Str.",11.871164,51.390998,""
"9604","Bad Lauchstädt, Lindenstr.",11.868521,51.38813,""
"9605","Bad Lauchstädt, Markt",11.867757,51.387348,""
"9606","Bad Lauchstädt, Am Schloss",11.864826,51.387582,""
"9786","Klein Gräfendorf (Milzau)",11.862624,51.365235,""
"9814","Krakau (Milzau)",11.858534,51.363644,""
"9666","Eisdorf (Teutschenthal), Pappelgrund",11.844394,51.461177,""
"9745","Eisdorf (Teutschenthal), Hallesche Str.",11.823422,51.457455,""
"9611","Bennstedt (Salzatal), Abzweig B80",11.823377,51.47555,""
"9751","Eisdorf (Teutschenthal), Bahnhof (Bus)",11.820887,51.464592,""
"9734","Großgräfendorf (Bad Lauchstädt)",11.818001,51.394009,""
"9747","Eisdorf (Teutschenthal), Mühlberg",11.817732,51.461284,""
"9680","Etzdorf, Alte Hauptstr.",11.759518,51.430308,""
"9733","Dornstedt, Schule",11.747238,51.41072,""
"9661","Dornstedt, Steudener Str.",11.744739,51.411592,""
"9595","Asendorf, Obhäuser Str.",11.734914,51.413066,""
"9936","Neuweidenbach, Siedlung",11.692089,51.381191,""
"9679","Esperstedt (b. Querfurt)",11.672673,51.424186,""
"9589","Altweidenbach (Obhausen)",11.660861,51.382899,""
"9958","Obhausen, Kindergarten",11.659477,51.393344,""
"9933","Nemsdorf, Kulturhaus",11.659468,51.362996,""
"9956","Obhausen (Bus)",11.654856,51.391681,""
"9581","Kuckenburg, Abzweig",11.64504,51.409498,""
"9962","Obhausen, Abzweig",11.644626,51.40983,""
"9585","Alberstedt, Siedlung",11.627691,51.448879,""
"9656","Döcklitz (Obhausen)",11.623502,51.404805,""
"9583","Alberstedt, Feuerwehr",11.62298,51.446605,""
"9979","Querfurt, Pappelstr.",11.613596,51.376264,""
"9984","Querfurt, Schluckspecht",11.607052,51.388481,""
"941047","Niefern Bahnhof, Niefern-Öschelbronn",8.769867,48.920061,""
"9687","Querfurt, Fichtensiedlung",11.584929,51.37355,""
"9684","Farnstädt, Schule",11.573144,51.431287,""
"9683","Farnstädt, Kaufhalle",11.572515,51.429283,""
"9838","Leiha (Roßbach)",11.874894,51.262973,""
"9634","Braunsbedra, Neumark",11.871622,51.293483,""
"9588","Almsdorf (Mücheln)",11.861635,51.258596,""
"9743","Gröst",11.851729,51.260376,""
"9822","Krumpa, Addinol",11.849652,51.295721,""
"9792","Klobikau, Schule",11.847693,51.354591,""
"9937","Niederklobikau, Alte Feuerwehr",11.846875,51.356066,""
"9824","Krumpa, Schule",11.845607,51.296296,""
"9823","Krumpa, Hauptstr.",11.844052,51.297474,""
"9938","Niederklobikau, Fleischer",11.842542,51.35398,""
"9950","Oberklobikau",11.832132,51.35105,""
"9619","Biendorf (Mücheln)",11.831225,51.301402,""
"9917","Mücheln (Geiseltal), EKZ",11.814208,51.294211,""
"9923","Mücheln (Geiseltal), Tankstelle",11.81339,51.304549,""
"9920","Mücheln (Geiseltal), Arthur-Scheibner-Str.",11.812985,51.296791,""
"9624","Branderoda, Ort",11.812931,51.263513,""
"9625","Branderoda, Siedlung",11.812644,51.266974,""
"9918","Mücheln (Geiseltal), Grundschule",11.811331,51.303254,""
"9924","Mücheln (Geiseltal), Viadukt",11.810576,51.304998,""
"9921","Mücheln (Geiseltal), Bürgermeister-Fritsch-Str.",11.809525,51.300009,""
"9947","Niederwünsch, Ortseingang",11.803511,51.349989,""
"9946","Niederwünsch, Mitte",11.798621,51.351553,""
"9955","Oberwünsch",11.783069,51.351023,""
"9964","Öchlitz",11.761333,51.322527,""
"9833","Langeneichstädt, Schule",11.742959,51.346726,""
"9831","Langeneichstädt, Kulturhaus",11.741773,51.34473,""
"9582","Albersroda",11.718131,51.284332,""
